,precision,recall,f1-score,support
drawings,0.8191747572815534,0.675,0.7401315789473684,2000.0
hentai,0.7918056217246308,0.831,0.8109294949987802,2000.0
neutral,0.8077455048409405,0.876,0.8404893259774525,2000.0
porn,0.9206128133704735,0.661,0.7694994179278231,2000.0
sexy,0.7046827794561934,0.933,0.8029259896729777,2000.0
accuracy,0.7952,0.7952,0.7952,0.7952
macro avg,0.8088042953347582,0.7952,0.7927951615048803,10000.0
weighted avg,0.8088042953347584,0.7952,0.7927951615048804,10000.0
