,precision,recall,f1-score,support
drawings,0.8395285584768812,0.463,0.5968417660328714,2000.0
hentai,0.6955645161290323,0.8625,0.7700892857142858,2000.0
neutral,0.7825890843482183,0.8675,0.8228598529760494,2000.0
porn,0.8741681790683605,0.7225,0.791130577607446,2000.0
sexy,0.7141735374950923,0.9095,0.8000879700901694,2000.0
accuracy,0.765,0.765,0.765,0.765
macro avg,0.7812047751035169,0.765,0.7562018904841645,10000.0
weighted avg,0.7812047751035169,0.765,0.7562018904841643,10000.0
